date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2014-04-16,399975.XSHE,证券公司,9627.0,519.2674,519.2674,4998987.2598
2014-04-16,000819.XSHG,有色金属,1583.0,3157.238,3157.238,4997907.754
2014-04-17,399975.XSHE,证券公司,9628.0,519.7029,519.2674,5003699.5212
2014-04-17,000819.XSHG,有色金属,1583.0,3150.188,3157.238,4986747.604
2014-04-18,399975.XSHE,证券公司,9628.0,521.9277,519.2674,5025119.8956
2014-04-18,000819.XSHG,有色金属,1583.0,3158.29,3157.238,4999573.07
2014-04-21,399975.XSHE,证券公司,9628.0,509.1779,519.2674,4902364.8212
2014-04-21,000819.XSHG,有色金属,1583.0,3108.741,3157.238,4921137.003
2014-04-22,399975.XSHE,证券公司,9628.0,513.4279,519.2674,4943283.8212
2014-04-22,000819.XSHG,有色金属,1583.0,3096.127,3157.238,4901169.041
2014-04-23,399975.XSHE,证券公司,9628.0,507.8456,519.2674,4889537.4368
2014-04-23,399932.XSHE,800消费,906.0,5417.295,5417.295,4908069.27
2014-04-24,399975.XSHE,证券公司,9628.0,507.5891,519.2674,4887067.8548
2014-04-24,399932.XSHE,800消费,906.0,5389.293,5417.295,4882699.458
2014-04-25,399975.XSHE,证券公司,9628.0,502.8207,519.2674,4841157.6996
2014-04-25,399932.XSHE,800消费,906.0,5236.912,5417.295,4744642.272
2014-04-28,399975.XSHE,证券公司,9628.0,494.7646,519.2674,4763593.5688
2014-04-28,399932.XSHE,800消费,906.0,5110.772,5417.295,4630359.432
2014-04-29,399975.XSHE,证券公司,9628.0,505.4357,519.2674,4866334.9196
2014-04-30,399975.XSHE,证券公司,9628.0,503.7262,519.2674,4849875.8536
2014-05-05,399975.XSHE,证券公司,9628.0,508.2715,519.2674,4893638.002
2014-05-06,399975.XSHE,证券公司,9628.0,506.1869,519.2674,4873567.4732
2014-05-07,399975.XSHE,证券公司,9628.0,506.1085,519.2674,4872812.638
2014-05-08,399975.XSHE,证券公司,9628.0,509.7194,519.2674,4907578.3832
2014-05-30,000819.XSHG,有色金属,1558.0,3095.114,3095.114,4822187.612
2014-05-30,000993.XSHG,全指信息,1324.0,3640.028,3640.028,4819397.072
2014-06-03,000819.XSHG,有色金属,1558.0,3091.38,3095.114,4816370.04
2014-06-03,000993.XSHG,全指信息,1324.0,3622.24,3640.028,4795845.76
2014-06-04,000819.XSHG,有色金属,1558.0,3040.936,3095.114,4737778.288
