date,cash,transaction_cost,market_value,total_value
2014-04-16,3764.2289,1599.1419,9994636.6292,9998400.8581
2014-04-17,3337158.0616,0.0,6658901.5522,9996059.6138
2014-04-18,2893.8636,533.3969,10015458.7296,10018352.5932
2014-04-21,2384.6043,0.0815,9819657.1011,9822041.7054
2014-04-22,3268275.963,0.0,6565636.0751,9833912.0381
2014-04-23,6556047.9004,0.0,3259860.9064,9815908.8068
2014-04-24,6556047.9004,0.0,3258214.4329,9814262.3333
2014-04-25,6556047.9004,0.0,3227606.0733,9783653.9737
2014-04-28,6556047.9004,0.0,3175893.9674,9731941.8678
2014-04-29,6556047.9004,0.0,3244391.7583,9800439.6587
2014-04-30,6556047.9004,0.0,3233418.4778,9789466.3782
2014-05-05,6556047.9004,0.0,3262594.7585,9818642.6589
2014-05-06,6556047.9004,0.0,3249213.7111,9805261.6115
2014-05-07,6556047.9004,0.0,3248710.4615,9804758.3619
2014-05-08,6556047.9004,0.0,3271888.8286,9827936.729
2014-05-09,9855249.2591,0.0,0.0,9855249.2591
2014-05-12,9855249.2591,0.0,0.0,9855249.2591
2014-05-13,9855249.2591,0.0,0.0,9855249.2591
2014-05-14,9855249.2591,0.0,0.0,9855249.2591
2014-05-15,9855249.2591,0.0,0.0,9855249.2591
2014-05-16,9855249.2591,0.0,0.0,9855249.2591
2014-05-19,9855249.2591,0.0,0.0,9855249.2591
2014-05-20,9855249.2591,0.0,0.0,9855249.2591
2014-05-21,9855249.2591,0.0,0.0,9855249.2591
2014-05-22,9855249.2591,0.0,0.0,9855249.2591
2014-05-23,9855249.2591,0.0,0.0,9855249.2591
2014-05-26,9855249.2591,0.0,0.0,9855249.2591
2014-05-27,9855249.2591,0.0,0.0,9855249.2591
2014-05-28,9855249.2591,0.0,0.0,9855249.2591
2014-05-29,3829.8595,1575.9749,9849843.4246,9853673.2841
2014-05-30,3829.8595,0.0,9904890.416,9908720.2755
2014-06-03,3829.8595,0.0,9900016.7622,9903846.6217
2014-06-04,3829.8595,0.0,9835695.0404,9839524.8999
2014-06-05,3285614.22,0.0,6740645.932,10026260.152
2014-06-06,2237.8388,525.2562,9977933.8784,9980171.7172
2014-06-09,2237.8388,0.0,9886832.4868,9889070.3256
2014-06-10,3308040.1008,0.0,6737245.2558,10045285.3566
2014-06-11,3308040.1008,0.0,6762007.6968,10070047.7976
2014-06-12,3308040.1008,0.0,6748760.64,10056800.7408
2014-06-13,3308040.1008,0.0,6840746.1656,10148786.2664
2014-06-16,2454.1797,528.8091,10211601.725,10214055.9047
2014-06-17,2454.1797,0.0,10120918.4358,10123372.6155
2014-06-18,2454.1797,0.0,10066281.3958,10068735.5755
2014-06-19,2454.1797,0.0,9775206.9572,9777661.1369
2014-06-20,3237531.4725,0.0,6603067.4906,9840598.9631
2014-06-23,159.7379,517.8966,9946562.05,9946721.7879
2014-06-24,159.7379,0.0,10025317.2094,10025476.9473
2014-06-25,159.7379,0.0,9933355.6234,9933515.3613
2014-06-26,159.7379,0.0,10059997.174,10060156.9119
2014-06-27,159.7379,0.0,10095269.1678,10095428.9057
2014-06-30,159.7379,0.0,10194436.6784,10194596.4163
2014-07-01,159.7379,0.0,10306108.8692,10306268.6071
2014-07-02,159.7379,0.0,10317887.96,10318047.6979
2014-07-03,159.7379,0.0,10358951.4348,10359111.1727
2014-07-04,159.7379,0.0,10326080.35,10326240.0879
2014-07-07,159.7379,0.0,10232395.7424,10232555.4803
2014-07-08,159.7379,0.0,10327547.7414,10327707.4793
2014-07-09,159.7379,0.0,10150660.7738,10150820.5117
2014-07-10,3366192.3117,0.0,6738593.179,10104785.4907
2014-07-11,3366192.3117,0.0,6773721.903,10139914.2147
2014-07-14,6811855.9453,0.0,3432908.3,10244764.2453
2014-07-15,6811855.9453,0.0,3416795.899,10228651.8443
2014-07-16,6811855.9453,0.0,3389709.79,10201565.7353
2014-07-17,6811855.9453,0.0,3396163.531,10208019.4763
2014-07-18,6052.6009,1088.7543,10198062.203,10204114.8039
2014-07-21,152.183,547.7696,10199056.0346,10199208.2176
2014-07-22,152.183,0.0,10396650.272,10396802.455
2014-07-23,152.183,0.0,10417616.3668,10417768.5498
2014-07-24,152.183,0.0,10592328.711,10592480.894
2014-07-25,152.183,0.0,10779455.3034,10779607.4864
2014-07-28,152.183,0.0,11125950.152,11126102.335
2014-07-29,152.183,0.0,11137436.44,11137588.623
2014-07-30,152.183,0.0,11121200.9732,11121353.1562
2014-07-31,152.183,0.0,11332554.651,11332706.834
2014-08-01,152.183,0.0,11168561.4232,11168713.6062
2014-08-04,152.183,0.0,11487434.8694,11487587.0524
2014-08-05,152.183,0.0,11493963.4844,11494115.6674
2014-08-06,152.183,0.0,11570523.9334,11570676.1164
2014-08-07,152.183,0.0,11350510.3354,11350662.5184
2014-08-08,152.183,0.0,11395973.2226,11396125.4056
2014-08-11,152.183,0.0,11573286.361,11573438.544
2014-08-12,152.183,0.0,11566127.8236,11566280.0066
2014-08-13,152.183,0.0,11590574.603,11590726.786
2014-08-14,152.183,0.0,11405140.0674,11405292.2504
2014-08-15,152.183,0.0,11547938.9048,11548091.0878
2014-08-18,152.183,0.0,11628897.8224,11629050.0054
2014-08-19,480.6593,590.0441,11579665.7348,11580146.3941
2014-08-20,480.6593,0.0,11545932.6478,11546413.3071
2014-08-21,480.6593,0.0,11503484.2774,11503964.9367
2014-08-22,480.6593,0.0,11569043.9628,11569524.6221
2014-08-25,480.6593,0.0,11434129.3748,11434610.0341
2014-08-26,106.127,615.0527,11268240.591,11268346.718
2014-08-27,106.127,0.0,11314282.379,11314388.506
2014-08-28,106.127,0.0,11209687.121,11209793.248
2014-08-29,3787426.3948,0.0,7517629.748,11305056.1428
2014-09-01,2591.9081,605.4766,11459237.248,11461829.1561
2014-09-02,2591.9081,0.0,11604576.88,11607168.7881
2014-09-03,2591.9081,0.0,11736197.711,11738789.6191
2014-09-04,888.4555,621.2432,11798690.928,11799579.3835
2014-09-05,888.4555,0.0,11816276.696,11817165.1515
2014-09-09,888.4555,0.0,11837615.692,11838504.1475
2014-09-10,888.4555,0.0,11859299.914,11860188.3695
2014-09-11,888.4555,0.0,11828013.528,11828901.9835
2014-09-12,888.4555,0.0,11880807.222,11881695.6775
2014-09-15,888.4555,0.0,11923369.496,11924257.9515
2014-09-16,888.4555,0.0,11498024.976,11498913.4315
2014-09-17,3829519.3665,0.0,7728376.494,11557895.8605
2014-09-18,3797.1769,612.0176,11586260.598,11590057.7749
2014-09-19,3797.1769,0.0,11655271.054,11659068.2309
2014-09-22,7187.1533,1225.8824,11482613.628,11489800.7813
2014-09-23,3870942.8414,0.0,7750533.754,11621476.5954
2014-09-24,183.459,619.2224,11705581.604,11705765.063
2014-09-25,183.459,0.0,11674284.756,11674468.215
2014-09-26,183.459,0.0,11698145.672,11698329.131
2014-09-29,183.459,0.0,11814037.996,11814221.455
2014-09-30,183.459,0.0,11888509.63,11888693.089
2014-10-08,183.459,0.0,12112193.494,12112376.953
2014-10-09,183.459,0.0,12047126.778,12047310.237
2014-10-10,183.459,0.0,11994474.266,11994657.725
2014-10-13,183.459,0.0,11972871.058,11973054.517
2014-10-14,783.1258,613.7804,11913520.66,11914303.7858
2014-10-15,783.1258,0.0,12009309.281,12010092.4068
2014-10-16,783.1258,0.0,11834616.499,11835399.6248
2014-10-17,379.6228,596.0485,11767813.3948,11768193.0176
2014-10-20,3996952.6388,0.0,7901530.814,11898483.4528
2014-10-21,2384.5101,639.0287,11816913.2604,11819297.7705
2014-10-22,1772.3345,0.0979,11650392.3133,11652164.6478
2014-10-23,1772.3345,0.0,11507553.8579,11509326.1924
2014-10-24,1772.3345,0.0,11490268.2186,11492040.5531
2014-10-27,3938905.9923,0.0,7497080.7169,11435986.7092
2014-10-28,692.636,630.0133,11640774.325,11641466.961
2014-10-29,692.636,0.0,11807327.948,11808020.584
2014-10-30,692.636,0.0,11839202.2492,11839894.8852
2014-10-31,692.636,0.0,11909804.0642,11910496.7002
2014-11-03,692.636,0.0,11950919.953,11951612.589
2014-11-04,692.636,0.0,11877114.5905,11877807.2265
2014-11-05,3941266.8662,0.0,8006893.0018,11948159.868
2014-11-06,8010288.1026,0.0,3959342.8725,11969630.9751
2014-11-07,8010288.1026,0.0,4089651.5345,12099939.6371
2014-11-10,8010288.1026,0.0,4262816.8816,12273104.9842
2014-11-11,8010288.1026,0.0,4291777.29,12302065.3926
2014-11-12,8010288.1026,0.0,4489975.4593,12500263.5619
2014-11-13,8010288.1026,0.0,4416795.2694,12427083.372
2014-11-14,8010288.1026,0.0,4377324.166,12387612.2686
2014-11-17,8010288.1026,0.0,4324126.8735,12334414.9761
2014-11-18,8010288.1026,0.0,4278470.9298,12288759.0324
2014-11-19,8010288.1026,0.0,4257649.5724,12267937.675
2014-11-20,5855.0142,1280.5044,12330661.4458,12336516.46
2014-11-21,4588913.2235,87.6753,8080139.0628,12669052.2863
2014-11-24,1324.0633,1388.4483,12990395.9526,12991720.0159
2014-11-25,1324.0633,0.0,13222207.093,13223531.1563
2014-11-26,1324.0633,0.0,13465862.5396,13467186.6029
2014-11-27,1324.0633,0.0,13761450.0156,13762774.0789
2014-11-28,1324.0633,0.0,13697957.0262,13699281.0895
2014-12-01,1324.0633,0.0,13717270.4202,13718594.4835
2014-12-02,1324.0633,0.0,14260157.5642,14261481.6275
2014-12-03,1324.0633,0.0,14795443.3812,14796767.4445
2014-12-04,1324.0633,0.0,15451356.5948,15452680.6581
2014-12-05,1324.0633,0.0,15768733.349,15770057.4123
2014-12-08,1324.0633,0.0,16449712.0416,16451036.1049
2014-12-09,5977.5723,708.0463,15966818.1468,15972795.7191
2014-12-10,4665.7199,0.2099,16347034.39,16351700.1099
2014-12-11,3447.305,0.1949,15878335.2674,15881782.5724
2014-12-12,2197.4267,0.1999,16128991.0628,16131188.4895
2014-12-15,1618.291,749.0373,16402218.9294,16403837.2204
2014-12-16,1618.291,0.0,17043790.2975,17045408.5885
2014-12-17,1618.291,0.0,17234684.1453,17236302.4363
2014-12-18,1618.291,0.0,16793061.8397,16794680.1307
2014-12-19,1618.291,0.0,16664398.2723,16666016.5633
2014-12-22,1618.291,0.0,16287638.5611,16289256.8521
2014-12-23,1618.291,0.0,16060525.413,16062143.704
2014-12-24,187.3909,689.0622,15596817.2294,15597004.6203
2014-12-25,187.3909,0.0,15976516.7395,15976704.1304
2014-12-26,187.3909,0.0,16713354.0748,16713541.4657
2014-12-29,187.3909,0.0,16510102.5702,16510289.9611
2014-12-30,187.3909,0.0,16548104.5268,16548291.9177
2014-12-31,187.3909,0.0,16740136.8164,16740324.2073
2015-01-05,5123393.6047,0.0,12125901.8435,17249295.4482
2015-01-06,2136.1026,819.2701,17203486.9064,17205623.009
2015-01-07,2136.1026,0.0,17466692.2417,17468828.3443
2015-01-08,2136.1026,0.0,17043621.4871,17045757.5897
2015-01-09,2136.1026,0.0,16880720.7339,16882856.8365
2015-01-12,2136.1026,0.0,16623631.3405,16625767.4431
2015-01-13,4255.9809,787.5072,16413904.214,16418160.1949
2015-01-14,2903.5373,0.2164,16440487.1836,16443390.7209
2015-01-15,9354754.8457,0.0,7374985.8182,16729740.6639
2015-01-16,16659773.4717,0.0,0.0,16659773.4717
