date,cash,transaction_cost,market_value,total_value
2014-04-16,1505.483,1599.5032,9996895.0138,9998400.4968
2014-04-17,1505.483,0.0,9989927.4223,9991432.9053
2014-04-18,1505.483,0.0,10024171.0379,10025676.5209
2014-04-21,1505.483,0.0,9822992.6463,9824498.1293
2014-04-22,1505.483,0.0,9843939.4343,9845444.9173
2014-04-23,1505.483,0.0,9798316.2562,9799821.7392
2014-04-24,5196.1974,780.3696,9763870.4307,9769066.6281
2014-04-25,5196.1974,0.0,9580060.2389,9585256.4363
2014-04-28,5196.1974,0.0,9388347.4642,9393543.6616
2014-04-29,5196.1974,0.0,9558892.5089,9564088.7063
2014-04-30,5196.1974,0.0,9583658.8074,9588855.0048
2014-05-05,5196.1974,0.0,9645644.9205,9650841.1179
2014-05-06,5196.1974,0.0,9637375.8663,9642572.0637
2014-05-07,5196.1974,0.0,9575521.8445,9580718.0419
2014-05-08,4693769.4706,0.0,4907068.6638,9600838.1344
2014-05-09,4693769.4706,0.0,4948822.8882,9642592.3588
2014-05-12,4693769.4706,0.0,5090961.6924,9784731.163
2014-05-13,4693769.4706,0.0,5055935.7783,9749705.2489
2014-05-14,4693769.4706,0.0,5065804.416,9759573.8866
2014-05-15,4693769.4706,0.0,4933207.8942,9626977.3648
2014-05-16,4693769.4706,0.0,4870601.5878,9564371.0584
2014-05-19,9453481.3161,0.0,0.0,9453481.3161
2014-05-20,9453481.3161,0.0,0.0,9453481.3161
2014-05-21,9453481.3161,0.0,0.0,9453481.3161
2014-05-22,9453481.3161,0.0,0.0,9453481.3161
2014-05-23,9453481.3161,0.0,0.0,9453481.3161
2014-05-26,9453481.3161,0.0,0.0,9453481.3161
2014-05-27,9453481.3161,0.0,0.0,9453481.3161
2014-05-28,3570.1382,1511.7439,9448399.434,9451969.5722
2014-05-29,3570.1382,0.0,9296390.8406,9299960.9788
2014-05-30,3570.1382,0.0,9335036.0,9338606.1382
2014-06-03,3570.1382,0.0,9333605.6362,9337175.7744
2014-06-04,3570.1382,0.0,9318799.2634,9322369.4016
2014-06-05,3570.1382,0.0,9543197.191,9546767.3292
2014-06-06,3570.1382,0.0,9478803.1374,9482373.2756
2014-06-09,3570.1382,0.0,9344287.3718,9347857.51
2014-06-10,3570.1382,0.0,9538492.7458,9542062.884
2014-06-11,3570.1382,0.0,9573619.2888,9577189.427
2014-06-12,3570.1382,0.0,9554968.109,9558538.2472
2014-06-13,3570.1382,0.0,9685239.0616,9688809.1998
2014-06-16,3570.1382,0.0,9778375.762,9781945.9002
2014-06-17,3570.1382,0.0,9677260.2018,9680830.34
2014-06-18,3570.1382,0.0,9609256.7758,9612826.914
2014-06-19,3570.1382,0.0,9269738.6042,9273308.7424
2014-06-20,3570.1382,0.0,9348988.1276,9352558.2658
2014-06-23,3570.1382,0.0,9499900.647,9503470.7852
2014-06-24,3570.1382,0.0,9547468.7234,9551038.8616
2014-06-25,3570.1382,0.0,9488540.4604,9492110.5986
2014-06-26,3570.1382,0.0,9643808.493,9647378.6312
2014-06-27,3570.1382,0.0,9698469.6848,9702039.823
2014-06-30,3570.1382,0.0,9802074.7854,9805644.9236
2014-07-01,3570.1382,0.0,9897541.1542,9901111.2924
2014-07-02,3570.1382,0.0,9933552.376,9937122.5142
2014-07-03,3570.1382,0.0,9912378.0788,9915948.217
2014-07-04,2012.8965,786.1426,9900962.209,9902975.1055
2014-07-07,2012.8965,0.0,9816062.414,9818075.3105
2014-07-08,2012.8965,0.0,9915825.082,9917837.9785
2014-07-09,2012.8965,0.0,9768827.098,9770839.9945
2014-07-10,2012.8965,0.0,9755487.083,9757499.9795
2014-07-11,2012.8965,0.0,9806738.769,9808751.6655
2014-07-14,2012.8965,0.0,9960111.281,9962124.1775
2014-07-15,2012.8965,0.0,9895196.05,9897208.9465
2014-07-16,26.5913,764.1138,9772295.89,9772322.4813
2014-07-17,26.5913,0.0,9732483.355,9732509.9463
2014-07-18,26.5913,0.0,9808216.915,9808243.5063
2014-07-21,26.5913,0.0,9779335.895,9779362.4863
2014-07-22,26.5913,0.0,9989960.82,9989987.4113
2014-07-23,26.5913,0.0,9983805.475,9983832.0663
2014-07-24,26.5913,0.0,10064197.745,10064224.3363
2014-07-25,26.5913,0.0,10262551.18,10262577.7713
2014-07-28,26.5913,0.0,10497790.695,10497817.2863
2014-07-29,26.5913,0.0,10497611.845,10497638.4363
2014-07-30,26.5913,0.0,10447214.295,10447240.8863
2014-07-31,26.5913,0.0,10670890.79,10670917.3813
2014-08-01,26.5913,0.0,10560539.5,10560566.0913
2014-08-04,26.5913,0.0,10799511.1,10799537.6913
2014-08-05,26.5913,0.0,10822963.48,10822990.0713
2014-08-06,26.5913,0.0,10914532.195,10914558.7863
2014-08-07,26.5913,0.0,10745879.83,10745906.4213
2014-08-08,26.5913,0.0,10809923.67,10809950.2613
2014-08-11,26.5913,0.0,10963406.16,10963432.7513
2014-08-12,26.5913,0.0,10973891.495,10973918.0863
2014-08-13,26.5913,0.0,10983188.37,10983214.9613
2014-08-14,26.5913,0.0,10803659.545,10803686.1363
2014-08-15,26.5913,0.0,10871459.515,10871486.1063
2014-08-18,287.4017,832.7624,10958315.1316,10958602.5333
2014-08-19,287.4017,0.0,10889018.1572,10889305.5589
2014-08-20,287.4017,0.0,10875771.5262,10876058.9279
2014-08-21,287.4017,0.0,10802796.1686,10803083.5703
2014-08-22,1278350.8072,612.6314,9554566.586,10832917.3932
2014-08-25,6956815.4575,0.0,3791426.3593,10748241.8168
2014-08-26,6956815.4575,0.0,3725334.7309,10682150.1884
2014-08-27,6956815.4575,0.0,3744324.884,10701140.3415
2014-08-28,6956815.4575,0.0,3712475.139,10669290.5965
2014-08-29,6956815.4575,0.0,3741918.764,10698734.2215
2014-09-01,6956815.4575,0.0,3818608.9567,10775424.4142
2014-09-02,6956815.4575,0.0,3859094.668,10815910.1255
2014-09-03,6956815.4575,0.0,3917837.8682,10874653.3257
2014-09-04,6956815.4575,0.0,3938910.7542,10895726.2117
2014-09-05,6956815.4575,0.0,3927494.5156,10884309.9731
