date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,1505.483,9998400.4968,9996895.0138,0.99984,10000000.0,1.0
2014-04-17,1505.483,9991432.9053,9989927.4223,0.999143,10000000.0,0.9998
2014-04-18,1505.483,10025676.5209,10024171.0379,1.002568,10000000.0,0.9991
2014-04-21,1505.483,9824498.1293,9822992.6463,0.98245,10000000.0,1.0026
2014-04-22,1505.483,9845444.9173,9843939.4343,0.984544,10000000.0,0.9824
2014-04-23,1505.483,9799821.7392,9798316.2562,0.979982,10000000.0,0.9845
2014-04-24,5196.1974,9769066.6281,9763870.4307,0.976907,10000000.0,0.98
2014-04-25,5196.1974,9585256.4363,9580060.2389,0.958526,10000000.0,0.9769
2014-04-28,5196.1974,9393543.6616,9388347.4642,0.939354,10000000.0,0.9585
2014-04-29,5196.1974,9564088.7063,9558892.5089,0.956409,10000000.0,0.9394
2014-04-30,5196.1974,9588855.0048,9583658.8074,0.958886,10000000.0,0.9564
2014-05-05,5196.1974,9650841.1179,9645644.9205,0.965084,10000000.0,0.9589
2014-05-06,5196.1974,9642572.0637,9637375.8663,0.964257,10000000.0,0.9651
2014-05-07,5196.1974,9580718.0419,9575521.8445,0.958072,10000000.0,0.9643
2014-05-08,4693769.4706,9600838.1344,4907068.6638,0.960084,10000000.0,0.9581
2014-05-09,4693769.4706,9642592.3588,4948822.8882,0.964259,10000000.0,0.9601
2014-05-12,4693769.4706,9784731.163,5090961.6924,0.978473,10000000.0,0.9643
2014-05-13,4693769.4706,9749705.2489,5055935.7783,0.974971,10000000.0,0.9785
2014-05-14,4693769.4706,9759573.8866,5065804.416,0.975957,10000000.0,0.975
2014-05-15,4693769.4706,9626977.3648,4933207.8942,0.962698,10000000.0,0.976
2014-05-16,4693769.4706,9564371.0584,4870601.5878,0.956437,10000000.0,0.9627
2014-05-19,9453481.3161,9453481.3161,0.0,0.945348,10000000.0,0.9564
2014-05-20,9453481.3161,9453481.3161,0.0,0.945348,10000000.0,0.9453
2014-05-21,9453481.3161,9453481.3161,0.0,0.945348,10000000.0,0.9453
2014-05-22,9453481.3161,9453481.3161,0.0,0.945348,10000000.0,0.9453
2014-05-23,9453481.3161,9453481.3161,0.0,0.945348,10000000.0,0.9453
2014-05-26,9453481.3161,9453481.3161,0.0,0.945348,10000000.0,0.9453
2014-05-27,9453481.3161,9453481.3161,0.0,0.945348,10000000.0,0.9453
2014-05-28,3570.1382,9451969.5722,9448399.434,0.945197,10000000.0,0.9453
2014-05-29,3570.1382,9299960.9788,9296390.8406,0.929996,10000000.0,0.9452
2014-05-30,3570.1382,9338606.1382,9335036.0,0.933861,10000000.0,0.93
2014-06-03,3570.1382,9337175.7744,9333605.6362,0.933718,10000000.0,0.9339
2014-06-04,3570.1382,9322369.4016,9318799.2634,0.932237,10000000.0,0.9337
2014-06-05,3570.1382,9546767.3292,9543197.191,0.954677,10000000.0,0.9322
2014-06-06,3570.1382,9482373.2756,9478803.1374,0.948237,10000000.0,0.9547
2014-06-09,3570.1382,9347857.51,9344287.3718,0.934786,10000000.0,0.9482
2014-06-10,3570.1382,9542062.884,9538492.7458,0.954206,10000000.0,0.9348
2014-06-11,3570.1382,9577189.427,9573619.2888,0.957719,10000000.0,0.9542
2014-06-12,3570.1382,9558538.2472,9554968.109,0.955854,10000000.0,0.9577
2014-06-13,3570.1382,9688809.1998,9685239.0616,0.968881,10000000.0,0.9559
2014-06-16,3570.1382,9781945.9002,9778375.762,0.978195,10000000.0,0.9689
2014-06-17,3570.1382,9680830.34,9677260.2018,0.968083,10000000.0,0.9782
2014-06-18,3570.1382,9612826.914,9609256.7758,0.961283,10000000.0,0.9681
2014-06-19,3570.1382,9273308.7424,9269738.6042,0.927331,10000000.0,0.9613
2014-06-20,3570.1382,9352558.2658,9348988.1276,0.935256,10000000.0,0.9273
2014-06-23,3570.1382,9503470.7852,9499900.647,0.950347,10000000.0,0.9353
2014-06-24,3570.1382,9551038.8616,9547468.7234,0.955104,10000000.0,0.9503
2014-06-25,3570.1382,9492110.5986,9488540.4604,0.949211,10000000.0,0.9551
2014-06-26,3570.1382,9647378.6312,9643808.493,0.964738,10000000.0,0.9492
2014-06-27,3570.1382,9702039.823,9698469.6848,0.970204,10000000.0,0.9647
2014-06-30,3570.1382,9805644.9236,9802074.7854,0.980564,10000000.0,0.9702
2014-07-01,3570.1382,9901111.2924,9897541.1542,0.990111,10000000.0,0.9806
2014-07-02,3570.1382,9937122.5142,9933552.376,0.993712,10000000.0,0.9901
2014-07-03,3570.1382,9915948.217,9912378.0788,0.991595,10000000.0,0.9937
2014-07-04,2012.8965,9902975.1055,9900962.209,0.990298,10000000.0,0.9916
2014-07-07,2012.8965,9818075.3105,9816062.414,0.981808,10000000.0,0.9903
2014-07-08,2012.8965,9917837.9785,9915825.082,0.991784,10000000.0,0.9818
2014-07-09,2012.8965,9770839.9945,9768827.098,0.977084,10000000.0,0.9918
2014-07-10,2012.8965,9757499.9795,9755487.083,0.97575,10000000.0,0.9771
2014-07-11,2012.8965,9808751.6655,9806738.769,0.980875,10000000.0,0.9757
2014-07-14,2012.8965,9962124.1775,9960111.281,0.996212,10000000.0,0.9809
2014-07-15,2012.8965,9897208.9465,9895196.05,0.989721,10000000.0,0.9962
2014-07-16,26.5913,9772322.4813,9772295.89,0.977232,10000000.0,0.9897
2014-07-17,26.5913,9732509.9463,9732483.355,0.973251,10000000.0,0.9772
2014-07-18,26.5913,9808243.5063,9808216.915,0.980824,10000000.0,0.9733
2014-07-21,26.5913,9779362.4863,9779335.895,0.977936,10000000.0,0.9808
2014-07-22,26.5913,9989987.4113,9989960.82,0.998999,10000000.0,0.9779
2014-07-23,26.5913,9983832.0663,9983805.475,0.998383,10000000.0,0.999
2014-07-24,26.5913,10064224.3363,10064197.745,1.006422,10000000.0,0.9984
2014-07-25,26.5913,10262577.7713,10262551.18,1.026258,10000000.0,1.0064
2014-07-28,26.5913,10497817.2863,10497790.695,1.049782,10000000.0,1.0263
2014-07-29,26.5913,10497638.4363,10497611.845,1.049764,10000000.0,1.0498
2014-07-30,26.5913,10447240.8863,10447214.295,1.044724,10000000.0,1.0498
2014-07-31,26.5913,10670917.3813,10670890.79,1.067092,10000000.0,1.0447
2014-08-01,26.5913,10560566.0913,10560539.5,1.056057,10000000.0,1.0671
2014-08-04,26.5913,10799537.6913,10799511.1,1.079954,10000000.0,1.0561
2014-08-05,26.5913,10822990.0713,10822963.48,1.082299,10000000.0,1.08
2014-08-06,26.5913,10914558.7863,10914532.195,1.091456,10000000.0,1.0823
2014-08-07,26.5913,10745906.4213,10745879.83,1.074591,10000000.0,1.0915
2014-08-08,26.5913,10809950.2613,10809923.67,1.080995,10000000.0,1.0746
2014-08-11,26.5913,10963432.7513,10963406.16,1.096343,10000000.0,1.081
2014-08-12,26.5913,10973918.0863,10973891.495,1.097392,10000000.0,1.0963
2014-08-13,26.5913,10983214.9613,10983188.37,1.098321,10000000.0,1.0974
2014-08-14,26.5913,10803686.1363,10803659.545,1.080369,10000000.0,1.0983
2014-08-15,26.5913,10871486.1063,10871459.515,1.087149,10000000.0,1.0804
2014-08-18,287.4017,10958602.5333,10958315.1316,1.09586,10000000.0,1.0871
2014-08-19,287.4017,10889305.5589,10889018.1572,1.088931,10000000.0,1.0959
2014-08-20,287.4017,10876058.9279,10875771.5262,1.087606,10000000.0,1.0889
2014-08-21,287.4017,10803083.5703,10802796.1686,1.080308,10000000.0,1.0876
2014-08-22,1278350.8072,10832917.3932,9554566.586,1.083292,10000000.0,1.0803
2014-08-25,6956815.4575,10748241.8168,3791426.3593,1.074824,10000000.0,1.0833
2014-08-26,6956815.4575,10682150.1884,3725334.7309,1.068215,10000000.0,1.0748
2014-08-27,6956815.4575,10701140.3415,3744324.884,1.070114,10000000.0,1.0682
2014-08-28,6956815.4575,10669290.5965,3712475.139,1.066929,10000000.0,1.0701
2014-08-29,6956815.4575,10698734.2215,3741918.764,1.069873,10000000.0,1.0669
2014-09-01,6956815.4575,10775424.4142,3818608.9567,1.077542,10000000.0,1.0699
2014-09-02,6956815.4575,10815910.1255,3859094.668,1.081591,10000000.0,1.0775
2014-09-03,6956815.4575,10874653.3257,3917837.8682,1.087465,10000000.0,1.0816
2014-09-04,6956815.4575,10895726.2117,3938910.7542,1.089573,10000000.0,1.0875
2014-09-05,6956815.4575,10884309.9731,3927494.5156,1.088431,10000000.0,1.0896
2014-09-09,6956815.4575,10896789.9941,3939974.5366,1.089679,10000000.0,1.0884
2014-09-10,6956815.4575,10908681.537,3951866.0795,1.090868,10000000.0,1.0897
2014-09-11,6956815.4575,10911430.7349,3954615.2774,1.091143,10000000.0,1.0909
2014-09-12,6956815.4575,10930169.5122,3973354.0547,1.093017,10000000.0,1.0911
