date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2014-04-16,399975.XSHE,证券公司,48097.0,519.2674,519.2674,24975204.1378
2014-04-16,000819.XSHG,有色金属,7910.0,3157.238,3157.238,24973752.58
2014-04-16,000012.XSHG,国债指数,355647.0,140.682,140.682,50033131.254
2014-04-17,399975.XSHE,证券公司,48097.0,519.7029,519.2674,24996150.3813
2014-04-17,000819.XSHG,有色金属,7910.0,3150.188,3157.238,24917987.08
2014-04-17,000012.XSHG,国债指数,355647.0,140.706,140.682,50041666.782
2014-04-18,399975.XSHE,证券公司,48097.0,521.9277,519.2674,25103156.5869
2014-04-18,000819.XSHG,有色金属,7910.0,3158.29,3157.238,24982073.9
2014-04-18,000012.XSHG,国债指数,355647.0,140.723,140.682,50047712.781
2014-04-21,399975.XSHE,证券公司,48097.0,509.1779,519.2674,24489929.4563
2014-04-21,000819.XSHG,有色金属,7910.0,3108.741,3157.238,24590141.31
2014-04-21,000012.XSHG,国债指数,355647.0,140.767,140.682,50063361.249
2014-04-22,399975.XSHE,证券公司,48097.0,513.4279,519.2674,24694341.7063
2014-04-22,000819.XSHG,有色金属,7910.0,3096.127,3157.238,24490364.57
2014-04-22,000012.XSHG,国债指数,355647.0,140.757,140.682,50059804.779
2014-04-23,399975.XSHE,证券公司,48202.0,507.8456,519.2425,24479173.6112
2014-04-23,000012.XSHG,国债指数,355647.0,140.71,140.682,50043089.37
2014-04-24,399975.XSHE,证券公司,48202.0,507.5891,519.2425,24466809.7982
2014-04-24,000012.XSHG,国债指数,355647.0,140.717,140.682,50045578.899
2014-04-25,399975.XSHE,证券公司,48439.0,502.8207,519.1622,24356131.8873
2014-04-25,000012.XSHG,国债指数,355647.0,140.718,140.682,50045934.546
2014-04-28,399975.XSHE,证券公司,48833.0,494.7646,518.9653,24160839.7118
2014-04-28,000012.XSHG,国债指数,355647.0,140.725,140.682,50048424.075
2014-04-29,399975.XSHE,证券公司,48319.0,505.4357,518.9653,24422147.5883
2014-04-29,000012.XSHG,国债指数,355647.0,140.735,140.682,50051980.545
2014-04-30,399975.XSHE,证券公司,48319.0,503.7262,518.9653,24339546.2578
2014-04-30,000012.XSHG,国债指数,355647.0,140.801,140.682,50075453.247
2014-05-05,399975.XSHE,证券公司,48184.0,508.2715,518.9653,24490553.956
2014-05-05,000012.XSHG,国债指数,355647.0,140.876,140.682,50102126.772
2014-05-06,399975.XSHE,证券公司,60053.0,506.1869,516.4398,30398041.9057
2014-05-06,000012.XSHG,国债指数,271099.0,140.967,140.682,38216012.733
2014-05-07,399975.XSHE,证券公司,60053.0,506.1085,516.4398,30393333.7505
2014-05-07,000012.XSHG,国债指数,271099.0,140.986,140.682,38221163.614
2014-05-08,399975.XSHE,证券公司,59845.0,509.7194,516.4398,30504157.493
2014-05-08,000012.XSHG,国债指数,271099.0,141.008,140.682,38227127.792
2014-05-09,000012.XSHG,国债指数,271099.0,141.059,140.682,38240953.841
2014-05-12,000012.XSHG,国债指数,271099.0,141.107,140.682,38253966.593
2014-05-13,000012.XSHG,国债指数,271099.0,141.139,140.682,38262641.761
2014-05-14,000012.XSHG,国债指数,271099.0,141.137,140.682,38262099.563
2014-05-15,000012.XSHG,国债指数,271099.0,141.136,140.682,38261828.464
2014-05-16,000012.XSHG,国债指数,271099.0,141.105,140.682,38253424.395
2014-05-19,000012.XSHG,国债指数,271099.0,141.133,140.682,38261015.167
